Index,Time,(bmi088_test)->gyro[0]
0,0.000000,0.00852211565
1,0.002465,0.00532632228
2,0.004603,0.00426105782
3,0.006314,0.00319579337
4,0.008665,0.00426105782
5,0.010365,0.00532632228
6,0.012719,0.00213052891
7,0.014779,0.00745685119
8,0.016483,0.00745685119
9,0.018597,0.00426105782
10,0.020416,0.00426105782
11,0.022771,0.00639158674
12,0.024472,0.00852211565
13,0.026175,0.00426105782
14,0.028528,0.00319579337
15,0.030228,0
16,0.032582,0.00106526446
17,0.034672,0
18,0.036484,0.00426105782
19,0.038184,0.00852211565
20,0.040538,0.00745685119
21,0.042236,0.00639158674
22,0.044590,0.00852211565
23,0.046297,0.00426105782
24,0.048837,0.00213052891
25,0.050908,-0.00213052891
26,0.052610,-0.00532632228
27,0.054312,0.00319579337
28,0.056668,0.00426105782
29,0.058369,0.00213052891
30,0.060722,0.00319579337
31,0.062422,0
32,0.064327,0.00106526446
33,0.066302,0.011717909
34,0.068654,0.0106526446
35,0.070356,0.00639158674
36,0.072709,0.00319579337
37,0.074407,0.00319579337
38,0.076766,0.011717909
39,0.078468,0.0095873801
40,0.080388,0.00319579337
41,0.082380,0.00213052891
42,0.085079,0.00426105782
43,0.086787,0.00426105782
44,0.088485,0.00319579337
45,0.090184,0.00639158674
46,0.092537,0.00852211565
47,0.094239,0.00639158674
48,0.096337,0.00213052891
49,0.098154,0
50,0.100507,0.00745685119
51,0.102207,0.00852211565
52,0.104560,0.00426105782
53,0.106266,0.00532632228
54,0.108620,0.00319579337
55,0.110320,-0.00532632228
56,0.112411,-0.00426105782
57,0.114242,0.0106526446
58,0.116601,0.00639158674
59,0.118303,0.00639158674
60,0.120657,0.0095873801
61,0.122355,0.00319579337
62,0.124709,0.00213052891
63,0.126638,0.00213052891
64,0.128622,0.00532632228
65,0.130326,0.00639158674
66,0.132680,0.00426105782
67,0.134379,0.00639158674
68,0.136738,0.00213052891
69,0.138439,0
70,0.140792,0.00745685119
71,0.142684,0.0106526446
72,0.144695,0.0095873801
73,0.146402,0.00213052891
74,0.148756,0.00532632228
75,0.150458,0.00639158674
76,0.152811,0.00745685119
77,0.154510,0.00852211565
78,0.156213,0.00639158674
79,0.158974,0.00213052891
80,0.161107,0
81,0.162803,0.00319579337
82,0.164501,0.00745685119
83,0.166208,0.00745685119
84,0.168562,0.00213052891
85,0.170260,0.00106526446
86,0.173011,0.00319579337
87,0.174156,0.00532632228
